date of interest,CASE COUNT,PROBABLE CASE COUNT,HOSPITALIZED COUNT,DEATH COUNT,BX CASE COUNT,BX PROBABLE CASE COUNT,BX HOSPITALIZED COUNT,BX DEATH COUNT,BK CASE COUNT,BK PROBABLE CASE COUNT,BK HOSPITALIZED COUNT,BK DEATH COUNT,MN CASE COUNT,MN PROBABLE CASE COUNT,MN HOSPITALIZED COUNT,MN DEATH COUNT,QN CASE COUNT,QN PROBABLE CASE COUNT,QN HOSPITALIZED COUNT,QN DEATH COUNT,SI CASE COUNT,SI PROBABLE CASE COUNT,SI HOSPITALIZED COUNT,SI DEATH COUNT
02/29/2020,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
03/01/2020,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/02/2020,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
03/03/2020,1,0,7,0,0,0,1,0,0,0,3,0,0,0,1,0,1,0,2,0,0,0,0,0
03/04/2020,5,0,2,0,0,0,0,0,1,0,1,0,2,0,1,0,2,0,0,0,0,0,0,0
03/05/2020,3,0,14,0,0,0,1,0,3,0,3,0,0,0,5,0,0,0,4,0,0,0,1,0
03/06/2020,8,0,8,0,2,0,1,0,1,0,1,0,3,0,3,0,1,0,2,0,1,0,1,0
03/07/2020,7,0,8,0,0,0,1,0,2,0,3,0,1,0,0,0,3,0,4,0,1,0,0,0
03/08/2020,21,0,18,0,3,0,5,0,5,0,8,0,6,0,1,0,6,0,4,0,1,0,0,0
03/09/2020,57,0,37,0,4,0,7,0,16,0,11,0,24,0,9,0,10,0,8,0,3,0,2,0
03/10/2020,69,0,60,0,8,0,7,0,11,0,13,0,24,0,12,0,24,0,23,0,2,0,5,0
03/11/2020,155,0,78,1,19,0,23,0,31,0,11,0,62,0,19,0,40,0,23,1,3,0,2,0
03/12/2020,355,0,106,0,29,0,19,0,96,0,33,0,137,0,16,0,80,0,35,0,13,0,3,0
03/13/2020,619,0,152,0,79,0,26,0,166,0,44,0,182,0,31,0,166,0,49,0,26,0,2,0
03/14/2020,642,1,177,3,86,0,22,0,163,0,40,1,176,1,36,1,194,0,72,1,23,0,7,0
03/15/2020,1034,0,210,4,119,0,37,1,432,0,53,0,205,0,33,2,231,0,67,1,47,0,20,0
03/16/2020,2121,2,338,9,305,0,72,3,740,1,92,2,457,0,45,0,528,1,114,4,91,0,15,0
03/17/2020,2451,4,385,12,343,0,60,1,783,3,98,7,567,0,76,0,650,0,128,3,108,1,23,1
03/18/2020,2971,5,494,24,482,1,110,2,965,3,123,8,538,1,87,5,835,0,152,9,150,0,22,0
03/19/2020,3706,4,631,27,623,3,135,7,1204,0,157,6,555,1,105,4,1065,0,208,6,258,0,26,4
03/20/2020,4007,3,738,49,723,0,126,13,1136,0,220,10,653,1,112,12,1185,1,247,10,310,1,33,4
03/21/2020,2639,7,734,51,491,2,158,14,554,2,182,14,399,1,117,6,947,0,244,14,248,2,33,3
03/22/2020,2580,4,773,52,495,0,173,12,755,1,206,10,317,2,131,9,696,0,229,14,317,1,34,7
03/23/2020,3570,15,1131,96,730,2,219,14,909,1,294,28,530,4,185,10,1192,8,390,36,209,0,43,8
03/24/2020,4497,12,1301,107,927,0,270,14,1212,5,359,28,619,2,204,19,1389,5,420,40,350,0,48,6
03/25/2020,4873,18,1434,143,1068,4,313,35,1255,7,422,44,586,4,200,24,1570,3,447,36,394,0,52,4
03/26/2020,5044,44,1535,229,998,8,316,45,1372,10,487,60,625,5,225,33,1644,19,451,79,405,2,56,12
03/27/2020,5119,46,1585,262,1090,11,314,47,1425,12,472,87,656,6,222,47,1576,17,513,74,372,0,64,7
03/28/2020,3478,51,1394,323,761,12,312,74,863,15,395,92,388,6,186,34,1201,17,451,109,265,1,50,14
03/29/2020,3560,66,1509,356,699,10,320,65,1149,21,463,110,407,11,158,46,1075,21,504,115,230,3,64,20
03/30/2020,6129,92,1858,414,1315,20,350,94,1754,27,555,133,802,18,272,52,1859,27,609,125,398,0,72,10
03/31/2020,5458,89,1816,476,1282,18,390,117,1512,28,544,156,616,12,221,54,1811,30,592,126,237,1,69,23
04/01/2020,5448,109,1768,556,1240,19,374,112,1590,34,515,169,573,15,217,74,1781,38,579,182,264,3,83,19
04/02/2020,5746,179,1684,676,1289,45,354,142,1610,52,444,222,652,14,242,76,1826,60,570,200,369,8,74,36
04/03/2020,5670,179,1712,676,1452,36,381,151,1440,66,449,209,671,22,255,73,1762,51,559,210,345,4,68,33
04/04/2020,3866,203,1460,715,1012,44,312,150,920,67,375,233,385,27,198,89,1203,62,521,220,345,3,54,23
04/05/2020,3782,180,1406,758,822,34,306,158,1144,59,401,224,356,23,190,109,1136,58,437,239,323,6,72,28
04/06/2020,6353,240,1750,816,1514,42,388,154,1461,92,471,261,721,33,261,102,1927,65,547,267,730,8,83,32
04/07/2020,6044,233,1590,831,1463,46,331,161,1397,84,464,264,605,30,194,122,1949,64,532,248,630,9,69,36
04/08/2020,5574,214,1559,782,1304,38,356,152,1305,79,455,250,546,24,172,90,1857,64,514,247,562,9,62,43
04/09/2020,5070,208,1353,767,1285,39,271,147,1369,73,414,262,558,30,189,95,1560,57,426,229,298,9,53,34
04/10/2020,4510,205,1293,742,1227,43,293,159,1145,63,327,241,495,26,176,95,1342,68,437,223,301,5,60,24
04/11/2020,3732,186,1048,730,998,41,245,173,1131,59,296,219,304,20,131,80,987,61,329,225,311,5,47,33
04/12/2020,2887,180,951,754,763,37,227,147,703,65,254,267,252,26,128,88,916,45,298,219,253,7,44,33
04/13/2020,3311,199,1156,768,693,33,262,156,1066,91,325,249,393,17,169,88,974,50,342,242,185,8,58,33
04/14/2020,4144,153,984,659,1076,39,202,150,1038,49,261,200,440,20,139,79,1300,41,336,202,290,4,46,28
04/15/2020,3876,122,866,578,1068,33,201,128,882,31,243,164,429,22,129,78,1180,29,262,177,317,7,31,31
04/16/2020,3530,143,782,555,940,35,172,121,885,44,228,169,355,15,104,69,1139,46,236,179,211,3,42,17
04/17/2020,3586,105,789,489,916,23,169,111,962,39,230,157,330,10,106,51,1099,29,252,151,279,4,32,19
04/18/2020,2172,123,584,513,552,24,133,86,575,36,155,152,187,15,83,72,705,42,184,178,153,6,29,25
04/19/2020,2343,96,536,494,532,22,142,102,635,25,124,141,176,18,69,67,866,23,173,157,134,8,28,27
04/20/2020,3792,101,641,465,981,23,141,101,983,31,187,126,381,12,95,62,1223,30,186,154,224,5,32,22
04/21/2020,3061,103,587,426,641,20,141,90,896,31,160,123,371,13,90,60,937,34,172,137,216,5,24,16
04/22/2020,3446,88,519,399,927,19,119,86,854,23,139,130,382,18,90,55,1109,24,154,110,173,4,17,18
04/23/2020,2841,85,448,415,735,16,109,74,786,25,126,131,400,10,55,57,793,30,136,136,127,4,22,17
04/24/2020,2535,66,474,380,579,15,99,77,630,20,128,113,408,9,80,56,775,19,138,117,143,3,29,17
04/25/2020,1595,60,327,325,418,6,79,63,404,23,94,100,145,6,42,46,540,23,89,105,88,2,23,11
04/26/2020,1003,55,307,300,196,11,74,65,332,21,75,82,98,13,41,47,331,7,100,96,46,3,17,10
04/27/2020,2290,52,370,322,551,11,90,65,607,18,92,104,302,5,61,35,723,15,107,106,107,3,20,12
04/28/2020,2726,38,356,267,668,11,88,67,709,12,92,69,323,5,56,40,896,8,106,81,130,2,14,10
04/29/2020,2339,37,313,274,557,7,77,47,683,13,93,84,285,5,43,37,691,10,87,90,123,2,13,16
04/30/2020,2021,30,254,253,482,6,58,51,600,12,74,77,217,3,31,38,592,8,79,75,130,1,12,12
05/01/2020,1886,47,263,256,450,7,70,52,497,16,66,71,240,6,33,30,621,12,81,89,78,6,13,14
